;Magasin;stoanabelkey;Redondance
0;PLOUHINEC;7522;3
1;ST PIERRE D'IRUBE;8456;3
2;BEAURAINS -BOREAL;9002;3
3;PONT EVEQUE;8045;4
4;LE TOUQUET;7967;5
5;NICE -MONT BORON;7886;6
6;ENNERY;8622;6
7;ALENCON -QUAKENBRUCK;7596;7
8;TOULOUSE -JOLIMONT;7719;8
9;BRIANCON;8285;8
10;BORDEAUX -GDS HOMMES;7729;10
11;LENS -MAES;7958;12
12;LONGUEIL ANNEL;7871;17
13;CLERMONT FD -ALYRE;7674;18
14;TOULON BOURGEOIS;7594;19
15;MARLY;7876;20
16;RUBELLES;7805;21
17;CHARTRETTES;7824;23
18;HAUTEVILLE LOMPNES;7926;23
19;VOISINS LE BRETONNEU;7820;23
20;PIERRES;8154;23
21;CORPEAU;8021;24
22;ETREPAGNY;8125;25
23;PARIS -LYON;8949;27
24;LE PLESSIS ROB -PLAC;7896;28
25;BLAINVILLE S/MER;8080;30
26;BORDEAUX -ST JEAN;7728;30
27;MOIRANS;8035;31
28;YUTZ;7924;31
29;AUCHEL -GANDHI;7828;31
30;GARDANNE PAYANNET;7861;32
31;FONTENAY AUX ROSES;7575;32
32;ST MAURICE;7809;32
33;BENODET;7635;33
34;NEUVILLE -LIBERATION;7573;33
35;ROGNAC;7653;35
36;ANTIBES -GRASSE;7827;35
37;MILLY LA FORET;7879;35
38;LIMOURS;7869;35
39;BORDEAUX -V.HUGO;7735;37
40;OFFRANVILLE;8148;37
41;ANNEMASSE LE PERRIER;8007;37
42;ST QUENTIN FALLAVIER;8060;38
43;TOURGEVILLE;7570;40
44;CROISSY S/SEINE;7854;41
45;REIGNIER;7632;43
46;SCHEIBENHARD;7547;43
47;NICE -ST ANDRE;7633;44
48;BELLEGARDE S/VAL-REP;8009;46
49;ST DENIS LES BOURG;8056;47
50;CLAMART -DE GAULLE;7929;48
51;MARINES;7599;49
52;LILLE -MOSELLE;7962;49
53;LILLE -FIVES;7867;50
54;SOULAC S/M -GODINEAU;7906;50
55;MOUGINS -TOURNAMY;7882;50
56;ESTAIRES;7858;52
