;stodisplaydesc;stoanabelkey;real;max;min;avg;realDimanche;maxDimanche;minDimanche;avgDimanche
0;AIRAINES;7639;10;12;12;12;10;14;14;14
1;ANNEMASSE -FLORISSAN;8340;7;10;10;10;7;9;9;9
2;AUBIGNY S/NERE;7618;12;12;12;12;12;13;13;13
3;AURAY -DE GAULLE;8076;5;8;8;8;5;9;9;9
4;AUXERRE;7657;10;12;12;12;10;14;14;14
5;AYTRE;8427;9;12;12;12;9;13;13;13
6;BELLAC 2;7619;10;12;12;12;10;14;14;14
7;BELLEVILLE (69);8010;14;14;14;14;14;12;12;12
8;BOIS GUILLAUME -BOCQ;8112;10;14;14;14;10;12;12;12
9;BORDEAUX -BASTIDE;7616;8;8;8;8;8;9;9;9
10;BOURBOURG;7975;4;8;8;8;4;9;9;9
11;CANNES LA BOCCA;8627;12;13;13;13;12;12;12;12
12;COMINES -TANNERIE;7724;10;9;9;9;10;8;8;8
13;CONDRIEU;8019;8;10;10;10;8;9;9;9
14;DAVEZIEUX;7709;10;12;12;12;10;13;13;13
15;DINARD -ST ALEXANDRE;7518;6;8;8;8;6;10;10;10
16;EPINAY S/ORGE;7777;20;18;18;18;20;17;17;17
17;FRAIZE;8584;6;10;10;10;6;9;9;9
18;GUIGNES;7617;10;12;12;12;10;14;14;14
19;IRIGNY;8025;10;14;14;14;10;12;12;12
20;JONAGE;8027;9;14;14;14;9;12;12;12
21;LAMORLAYE;7865;15;18;18;18;15;17;17;17
22;LANNEMEZAN;8547;11;14;14;14;11;12;12;12
23;LE MANS -MAILLETS;8137;9;14;14;14;9;12;12;12
24;LE MESNIL ESNARD;8143;13;14;14;14;13;12;12;12
25;LE PT QUEVILLY -JAUR;8153;7;8;8;8;7;9;9;9
26;LOUHANS;8031;10;10;10;10;10;9;9;9
27;MEYZIEU;8033;9;14;14;14;9;12;12;12
28;MIRECOURT;7880;10;10;10;10;10;9;9;9
29;NANGIS;7883;10;14;14;14;10;13;13;13
30;NANTEUIL LES M -FOUL;8669;18;18;18;18;18;17;17;17
31;PERTUIS;7634;18;18;18;18;18;11;11;11
32;RENNES -B L'EVEQUE;7440;9;8;8;8;9;7;7;7
33;SCIONZIER -LACS 161;8053;10;10;10;10;10;9;9;9
34;SETE;7604;5;8;8;8;5;9;9;9
35;ST GERMAIN EN LAYE;7808;5;8;8;8;5;9;9;9
36;ST GERMAIN PUY -FENE;7611;12;12;12;12;12;13;13;13
37;TOURNUS -RESISTANCE;7930;9;14;14;14;9;12;12;12
38;VANVES;7917;10;8;8;8;10;9;9;9
39;VELIZY -DE GAULLE;7918;6;8;8;8;6;9;9;9
